title,source,publishedAt
Patch Notes 1.29.0 - ARC Raiders,Arcraiders.com,2026-05-19T09:06:36Z
Alexa+ now generates podcast episodes on demand - About Amazon,Aboutamazon.com,2026-05-19T07:51:56Z
"LG will release the first 1000Hz, 1080p gaming monitor this year - The Verge",The Verge,2026-05-19T01:10:00Z
Nintendo reveals new mobile game Pictonico - Nintendo Everything,Nintendoeverything.com,2026-05-18T23:50:43Z
Every Pokémon Is Someone's Favorite And Now There's Proof - Kotaku,Kotaku,2026-05-18T21:31:09Z
Report: Saros And Ghost Of Yōtei Aren't Coming To PC As PlayStation Charts A Return To Console Exclusivity - Game Informer,Gameinformer.com,2026-05-18T19:21:53Z
PlayStation Plus to raise monthly subscription by £1 in UK - BBC,BBC News,2026-05-18T18:58:33Z
‘Knights of the Old Republic’ Remake: Endar Spire Animatic From Aspyr’s Cancelled Version Surfaces - Star Wars News Net,Starwarsnewsnet.com,2026-05-18T18:45:31Z
Introducing XBOX Player Voice: A Simpler Way to Share Feedback - XBOX Wire,Xbox.com,2026-05-18T18:00:30Z
Blanche’s Quest for Knowledge - Pokémon GO Hub,Pokemon GO Hub,2026-05-18T17:57:55Z
"Apple Readies AI Writing Help, App Shortcuts and Wallpapers for iOS 27 - Bloomberg.com",Bloomberg,2026-05-18T17:29:04Z
"The Dory Sign is E ink, smart screen simplicity at its finest - Ars Technica",Ars Technica,2026-05-18T17:26:15Z
"MTG Arena Announcements – May 18, 2026 - Magic: The Gathering",Wizards.com,2026-05-18T17:15:00Z
Apple kicks off Worldwide Developers Conference on June 8 - Apple,Apple Newsroom,2026-05-18T17:10:57Z
Marvel Cosmic Invasion DLC Adds Two New Fighters Today - Nintendo Life,Nintendo Life,2026-05-18T16:30:00Z
Google is rolling out its redesigned Workspace app icons - The Verge,The Verge,2026-05-18T16:29:37Z
Apple Watch Ultra 4 Could Get Redesign and Blood Pressure Monitoring - MacRumors,MacRumors,2026-05-18T16:08:08Z
"Five years later, Windows 11 brings back much-missed taskbar options (and more) - Ars Technica",Ars Technica,2026-05-18T16:03:02Z
Players Sue Sony Over PS5 Tariff 'Windfall' - Kotaku,Kotaku,2026-05-18T15:45:41Z
"Someone Shoved Cameras Into Sony Earbuds, and Now They’re Basically Smart Glasses - Gizmodo",Gizmodo.com,2026-05-18T15:44:58Z
