title,source,publishedAt,clean_title,title_length
Google expands AI push at I/O with enterprise-focused Gemini upgrades and smarter search tools - Yahoo Finance,Advfn.com,2026-05-20 10:35:17+00:00,google expands ai push at i/o with enterprise-focused gemini upgrades and smarter search tools - yahoo finance,110
Five Games Are Available Today Across Multiple Tiers Of Xbox Game Pass (May 20) - Pure Xbox,Pure Xbox,2026-05-20 10:00:00+00:00,five games are available today across multiple tiers of xbox game pass (may 20) - pure xbox,91
An AI system to help scientists write expert-level empirical software - Nature,Nature.com,2026-05-20 00:35:25+00:00,an ai system to help scientists write expert-level empirical software - nature,78
"S. 'Soma' Somasegar, 1966-2026: Microsoft and Madrona leader was a champion of developers and startups - GeekWire",GeekWire,2026-05-20 00:06:27+00:00,"s. 'soma' somasegar, 1966-2026: microsoft and madrona leader was a champion of developers and startups - geekwire",113
"Android 17’s ‘Continue On’ will let you move tasks between devices, like Apple’s Handoff - 9to5Google",9to5google.com,2026-05-19 23:35:00+00:00,"android 17’s ‘continue on’ will let you move tasks between devices, like apple’s handoff - 9to5google",101
Google and Xreal’s ‘Project Aura’ XR Smart Glasses Are Legit - Gizmodo,Gizmodo.com,2026-05-19 23:17:33+00:00,google and xreal’s ‘project aura’ xr smart glasses are legit - gizmodo,70
Plex is tripling the price of a lifetime pass to $750 after doubling it last year - The Verge,The Verge,2026-05-19 23:03:48+00:00,plex is tripling the price of a lifetime pass to $750 after doubling it last year - the verge,93
"You can now talk to your Gmail inbox, as seen at Google IO 2026 - TechCrunch",TechCrunch,2026-05-19 21:25:31+00:00,"you can now talk to your gmail inbox, as seen at google io 2026 - techcrunch",76
Discord enables end-to-end encrypted voice and video calling for every user - TechCrunch,TechCrunch,2026-05-19 21:14:08+00:00,discord enables end-to-end encrypted voice and video calling for every user - techcrunch,88
Man suing Nintendo & Pokémon Co. for $340k because they won't make him a Pokémon Professor - GoNintendo,GoNintendo,2026-05-19 19:34:46+00:00,man suing nintendo & pokémon co. for $340k because they won't make him a pokémon professor - gonintendo,103
Everything New in Wear OS 7 - Droid Life,Droid Life,2026-05-19 18:34:56+00:00,everything new in wear os 7 - droid life,40
How to use Google’s new information agents - TechCrunch,TechCrunch,2026-05-19 17:50:00+00:00,how to use google’s new information agents - techcrunch,55
"""There are people who couldn't believe what we had done"": How Civilization 7's devs worked with players to get its huge Test of Time overhaul right - GamesRadar+",GamesRadar+,2026-05-19 16:38:08+00:00,"""there are people who couldn't believe what we had done"": how civilization 7's devs worked with players to get its huge test of time overhaul right - gamesradar+",161
Older Kindles lose support this week: What you can still do with them - Mashable,Mashable,2026-05-19 16:04:37+00:00,older kindles lose support this week: what you can still do with them - mashable,80
Meet the new Trader: Nomadic Envoys - ARC Raiders,Arcraiders.com,2026-05-19 15:56:41+00:00,meet the new trader: nomadic envoys - arc raiders,49
"Seamless hinges for the iPhone Fold may be copied by rivals, and by Apple itself for an iPad Fold. - AppleInsider",AppleInsider,2026-05-19 14:45:12+00:00,"seamless hinges for the iphone fold may be copied by rivals, and by apple itself for an ipad fold. - appleinsider",113
Yoshi and the Mysterious Book developer finally revealed - Nintendo Everything,Nintendoeverything.com,2026-05-19 14:20:53+00:00,yoshi and the mysterious book developer finally revealed - nintendo everything,78
Fortnite Returns to the App Store Worldwide as Epic Signals 'Final Battle' With Apple - MacRumors,MacRumors,2026-05-19 13:08:22+00:00,fortnite returns to the app store worldwide as epic signals 'final battle' with apple - macrumors,97
Microsoft launches Surface Pro 12 and Surface Laptop 8 with Intel chips - The Verge,The Verge,2026-05-19 13:00:00+00:00,microsoft launches surface pro 12 and surface laptop 8 with intel chips - the verge,83
