title,source,publishedAt
"Apple unveils new accessibility features, and updates with Apple Intelligence - Apple",Apple Newsroom,2026-05-19T12:03:37Z
"At last, The Bullet Heaven genre - popularised by hits like Vampire Survivors - has been sanctioned by Steam - Eurogamer",Eurogamer.net,2026-05-19T11:23:02Z
Xbox Player Voice requests reveal what fans want most from Microsoft - TrueAchievements,TrueAchievements,2026-05-19T10:30:44Z
Gemini is in danger of going full Copilot - The Verge,The Verge,2026-05-19T10:30:00Z
"Nintendo has just announced Wario Ware-like game Pictonico! for mobile phones, and it looks absolutely bonkers - Eurogamer",Eurogamer.net,2026-05-19T09:48:53Z
Patch Notes 1.29.0 - ARC Raiders,Arcraiders.com,2026-05-19T09:06:36Z
Alexa+ now generates podcast episodes on demand - About Amazon,Aboutamazon.com,2026-05-19T07:51:56Z
"LG will release the first 1000Hz, 1080p gaming monitor this year - The Verge",The Verge,2026-05-19T01:10:00Z
"Prominent PS5 Podcaster's Account Hacked, Social Engineering Concerns Amplified - Push Square",Push Square,2026-05-19T00:30:00Z
"With iOS 27, Shortcuts is about to become what it was always meant to be - 9to5Mac",9to5Mac,2026-05-18T22:05:00Z
Every Pokémon Is Someone's Favorite And Now There's Proof - Kotaku,Kotaku,2026-05-18T21:31:09Z
"Sony won't be bringing any more single-player games to PC, says PlayStation Studios boss - GamesIndustry.biz",GamesIndustry.biz,2026-05-18T19:12:00Z
Latest PS5 Lawsuit Claims Sony Could 'Double Dip' on Trump's Tariffs - Push Square,Push Square,2026-05-18T19:00:00Z
PlayStation Plus to raise monthly subscription by £1 in UK - BBC,BBC News,2026-05-18T18:58:33Z
‘Knights of the Old Republic’ Remake: Endar Spire Animatic From Aspyr’s Cancelled Version Surfaces - Star Wars News Net,Starwarsnewsnet.com,2026-05-18T18:45:31Z
Four NASA payloads to fly on Astrolab’s first lunar rover - SpaceNews,SpaceNews,2026-05-18T18:00:00Z
Blanche’s Quest for Knowledge - Pokémon GO Hub,Pokemon GO Hub,2026-05-18T17:57:55Z
"Apple Readies AI Writing Help, App Shortcuts and Wallpapers for iOS 27 - Bloomberg.com",Bloomberg,2026-05-18T17:29:04Z
"The Dory Sign is E ink, smart screen simplicity at its finest - Ars Technica",Ars Technica,2026-05-18T17:26:15Z
"Apple might replace aluminum with titanium in future iPhones again, per leak - 9to5Mac",9to5Mac,2026-05-18T17:20:00Z
